epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-1.5220616383672816,8.635021097046414,0.9936708860759493,0.04273617683756578,0.04225157406809838,-0.018373758756206372,4.205385488271713,1.5977791160345078,4.187011736631393
2,8192,-1.3420001153695642,7.957198443579767,0.9941634241245136,0.042516466808153845,0.04181989219133898,-0.01171043144131545,4.353550179302692,1.5939448699355125,4.341839753091335
3,12288,-1.0381962938553881,7.053448275862069,1.0,0.04187108840600684,0.04187108840600684,-0.024045331845991315,2.2260792031884193,1.587151050567627,2.2020338758826257
4,16384,-0.9317663025718009,6.703764320785598,0.9967266775777414,0.04239978173933619,0.04213275424770267,-0.011926106148166582,2.9466099441051483,1.580227265400546,2.934683838060924
5,20480,-0.7895649700749753,6.269525267993874,0.998468606431853,0.041880436097578376,0.04177716399926641,-0.011291322208957613,1.9373249007122857,1.5766311404960496,1.926033585199288
