epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-48.30359831512453,95.54761904761905,0.07142857142857142,0.35276616107495057,0.1250724754340592,-0.011358971930167171,55.84190030097962,1.6753120206296443,55.83054132461548
2,8192,-48.81523665137258,95.66666666666667,0.023809523809523808,0.37240757136827424,0.12853028997778893,-0.009543640946503729,56.12779514789581,1.67284544557333,56.11825158596039
3,12288,-44.14283034753795,97.51219512195122,0.024390243902439025,0.28231336821506664,0.11564884543782328,-0.010927659005392342,42.07564425468445,1.669461476057768,42.064716529846194
4,16384,-40.14937867368732,86.06382978723404,0.1702127659574468,0.28124241499190633,0.11542060899924725,-0.011356078635435552,44.58874990940094,1.665538962930441,44.57739384174347
5,20480,-44.72518450259985,90.35555555555555,0.1111111111111111,0.3396401965783702,0.1194964507387744,-0.00973264400381595,49.40607054233551,1.6635048389434814,49.39633777141571
6,24576,-31.51576331556909,75.85185185185185,0.3333333333333333,0.20030918520771795,0.0837171420937887,-0.008890371664892881,32.653768587112424,1.6627688333392143,32.64487822055817
7,28672,-34.73158446038529,81.83673469387755,0.2653061224489796,0.2267971063146786,0.08746605107978898,-0.011541960324393585,33.497963833808896,1.6634491801261901,33.48642183542252
8,32768,-27.61544675517931,69.70689655172414,0.41379310344827586,0.16983049269765615,0.07838227538841552,-0.011411306497757323,27.789554607868194,1.6628924839198589,27.77814326286316
9,36864,-26.110426064195483,69.38983050847457,0.423728813559322,0.13690956366264215,0.06537577768756171,-0.008869033728842624,24.227576589584352,1.6605522900819778,24.21870752573013
10,40960,-24.129681683226615,66.03225806451613,0.532258064516129,0.1192324019127315,0.06156022197777225,-0.010142982541583478,21.77343883514404,1.6589000642299652,21.763295817375184
11,45056,-18.97764430014045,54.689189189189186,0.6891891891891891,0.09525144953482054,0.05565742471230191,-0.012742052765679546,18.421225589513778,1.6552183113992214,18.408483493328095
12,49152,-16.150945214507843,49.382716049382715,0.7407407407407407,0.08045861049106827,0.050261891849430994,-0.011611176241422072,15.132673227787018,1.6525909326970578,15.12106208205223
13,53248,-13.165616712434193,42.20618556701031,0.8350515463917526,0.06036421520270638,0.04885460261601148,-0.01463718929735478,13.066449201107025,1.6515142358839512,13.051811987161637
14,57344,-8.852580991619131,31.083969465648856,0.9618320610687023,0.04685795258815962,0.0445232945885367,-0.01567240692093037,8.672462007403373,1.6489835530519485,8.656789588928223
15,61440,-8.541338074531161,30.014705882352942,0.9338235294117647,0.048657488036791194,0.04497796073829865,-0.01826572761961466,9.572963496049246,1.643680295182599,9.554697735442055
16,65536,-5.924236189586128,22.629834254143645,0.9723756906077348,0.04577724536808815,0.0439218840464044,-0.01907173368090298,7.70171948671341,1.6399101525545121,7.682647758722306
17,69632,-4.515900665986102,18.164444444444445,0.9955555555555555,0.04295302470525106,0.04291975839270486,-0.01870801447657868,6.2220953613519665,1.6362070627510548,6.203387340903282
18,73728,-3.4861369042530095,14.927007299270073,0.9963503649635036,0.04330501238387214,0.04322250084747581,-0.023079345203586853,5.757166075706482,1.6320750430226325,5.734086722135544
19,77824,-2.7956526890054967,12.683229813664596,0.9937888198757764,0.04365305225393787,0.04317841524987117,-0.019369036913849412,5.672164911031723,1.625462156534195,5.652795872092247
20,81920,-2.2261251650403935,10.89095744680851,0.9946808510638298,0.04294768804585204,0.04278450120894357,-0.020245687471469865,5.533821806311607,1.6185611262917519,5.513576120138168
21,86016,-2.0973592044399636,10.468030690537084,0.9974424552429667,0.04309945430158806,0.043010753996270086,-0.014566490260351981,5.29081996849605,1.613649913242885,5.2762534618377686
22,90112,-1.6213811585807794,8.997797356828194,1.0,0.0420426808108908,0.0420426808108908,-0.013854841719148681,4.428750997781753,1.6112095579504966,4.414896175265312
23,94208,-1.4358038172356882,8.406570841889117,0.997946611909651,0.04270719277846495,0.04257886365698593,-0.01824255105748307,4.816043013334275,1.6068129539489746,4.797800451517105
24,98304,-1.17031950887481,7.539594843462247,1.0,0.042161185157178295,0.042161185157178295,-0.020840583741664885,3.9100360438227653,1.6000722147524358,3.8891954511404037
25,102400,-0.9804320714170662,6.870588235294117,1.0,0.042180914125021764,0.042180914125021764,-0.017074115137802437,3.363700424631437,1.5928366407752037,3.3466263289252915
26,106496,-0.9198908610967867,6.677049180327868,0.9983606557377049,0.04180725142665085,0.04173865936635459,-0.01596266884007491,3.331591919064522,1.5868600184718769,3.3156292339166007
27,110592,-0.7638492698815128,6.232876712328767,1.0,0.04167029561540126,0.04167029561540126,-0.009279246722871903,2.6336069852113724,1.582532700896263,2.6243277311325075
28,114688,-0.6762097153739559,5.8962536023054755,1.0,0.04133608696381065,0.04133608696381065,-0.010415746000944637,1.9716867990791798,1.5787134785205126,1.9612710513174534
29,118784,-0.6445119109316205,5.748595505617978,0.9985955056179775,0.040963333047758996,0.040820337340151995,-0.01358671373964171,2.287435820326209,1.5739990817382932,2.273849102668464
30,122880,-0.48620739227243975,5.246153846153846,0.9987179487179487,0.04106375321698112,0.041018125493652545,-0.016342587186954916,1.4825242184102536,1.5684724785387516,1.4661816254258155
31,126976,-0.4994752195780816,5.278350515463917,0.9987113402061856,0.040526732077495645,0.04044594871571537,-0.013269857595150824,1.5708112474530935,1.5628824308514595,1.5575413916260004
32,131072,-0.38787839453382894,4.9372738238841976,0.9987937273823885,0.04043348278486326,0.040394558516231034,-0.009541057006572373,1.1840486358851194,1.5598075333982706,1.1745075806975365
