epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-48.62730454454744,96.21428571428571,0.047619047619047616,0.35575840072262854,0.12522364549693607,-0.011766841090866365,56.38207542896271,1.6760278031229974,56.370308780670165
2,8192,-46.34118271407922,97.4047619047619,0.023809523809523808,0.3340415986520903,0.11472691852776777,-0.007842169809737242,49.116616415977475,1.6760651759803296,49.108774304389954
3,12288,-47.40926940981046,98.46341463414635,0.024390243902439025,0.3302276825032583,0.11093777845182069,-0.008498748284182511,48.7798109292984,1.675092624872923,48.77131216526031
4,16384,-43.83117828137303,94.3953488372093,0.06976744186046512,0.2817570476597825,0.10642300611145275,-0.010244369559222833,44.12711327075958,1.6737244978547097,44.116868948936464
5,20480,-40.89047073388308,93.44186046511628,0.09302325581395349,0.26280068205452933,0.09492533768765456,-0.010906992640229873,38.1730598449707,1.6715795002877711,38.16215286254883
