epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-17.66304687869876,67.85,0.6166666666666667,0.037467031793979304,0.021273712371475996,-0.011231148679507896,8.638464310765267,1.6236563131213189,8.627233144640922
2,8192,-14.541056128668194,58.333333333333336,0.7101449275362319,0.03365199944085401,0.020094620752269806,-0.009362097835401073,7.771125221252442,1.6187578089535237,7.761763125658035
3,12288,-14.288981735213062,56.875,0.75,0.03121425970069443,0.019787568864153907,-0.010927007155260071,8.321271508932114,1.6146289952099324,8.310344529151916
4,16384,-12.193257200817476,51.2,0.825,0.025155353781883605,0.018538451826316305,-0.010832239108276553,7.626754978299141,1.6096358254551888,7.615922752022743
5,20480,-10.109884583002893,43.913978494623656,0.8387096774193549,0.021262142364115964,0.016651780392113392,-0.011447220074478537,7.282377395033836,1.603750778734684,7.270930165052414
