epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-6.057120008865963,22.843575418994412,0.9664804469273743,0.04686512772056311,0.044004275406289366,-0.015683111172984356,8.22912521660328,1.7005985364317895,8.2134420722723
2,8192,-4.31176325755593,17.41025641025641,0.9829059829059829,0.04501382973936633,0.04329992054651181,-0.01782991184736602,7.404764100909233,1.697330182045698,7.3869341790676115
3,12288,-3.5176273453153537,14.927007299270073,0.9854014598540146,0.04430628276980706,0.043526680786570494,-0.016295687633100898,6.564529973268509,1.6931861720979213,6.548234298825264
4,16384,-2.6085501646785945,12.17313432835821,0.9970149253731343,0.043433036872032864,0.04323367395841363,-0.018318456000997685,5.493127137422562,1.6876306228339673,5.474808692932129
5,20480,-2.1642473855794044,10.75263157894737,0.9921052631578947,0.04358235733387501,0.04315839753437199,-0.015027745890256483,5.520773315429688,1.6826302208006383,5.505745580792427
