epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-37.084647684689806,83.59183673469387,0.1836734693877551,0.27015226881723015,0.08560171510492053,-0.012991060869535432,38.87337999343872,1.5112327195703983,38.86038897037506
2,8192,-31.60491413781009,74.2,0.32727272727272727,0.2171595741740682,0.07900638333098454,-0.012197093249415047,34.270862674713136,1.5079532697796822,34.25866562128067
3,12288,-24.8164704976289,65.68852459016394,0.47540983606557374,0.1459951111894162,0.06742081736199192,-0.012402800854761153,25.265256202220918,1.506405121833086,25.25285336971283
4,16384,-19.144863753986055,53.10526315789474,0.618421052631579,0.11906674597412348,0.061170227776624654,-0.011524193882360123,21.2617400765419,1.5058618947863578,21.25021586418152
5,20480,-17.630159977552992,49.46341463414634,0.6585365853658537,0.11202157663590298,0.05259144462917636,-0.013352598941128235,20.45464918613434,1.5029163643717767,20.441296565532685
