epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-37.16674477176389,95.26190476190476,0.11904761904761904,0.20067864676405275,0.07493955874815583,-0.011939249726128764,29.257784795761108,1.6619901411235332,29.2458455324173
2,8192,-31.44954962461177,88.78260869565217,0.17391304347826086,0.144214025035541,0.05302160656909742,-0.010089029977098107,22.19919172525406,1.6583591021597386,22.18910268545151
3,12288,-30.86190172188648,89.71111111111111,0.15555555555555556,0.13781418535444473,0.051641635017262565,-0.009512849259772338,20.19389441013336,1.6563290558755397,20.184381580352785
4,16384,-29.406175937325898,89.13333333333334,0.17777777777777778,0.1101610828604963,0.04988768518798881,-0.010040465893689543,17.243865764141084,1.6549565643072128,17.233825290203093
5,20480,-26.91150501167016,86.76595744680851,0.2127659574468085,0.08322466129159674,0.03922958553154418,-0.010874769801739603,14.718359673023224,1.6521831996738912,14.707484883069991
