epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-4.260082978585539,23.33142857142857,0.9485714285714286,0.016861826994323304,0.015469440608950598,-0.015053108935535419,4.7509694516658785,1.3183948032557964,4.735916346311569
2,8192,-3.837595300435593,21.396825396825395,0.9576719576719577,0.01719974045686069,0.016357462757104445,-0.015791784564498812,4.473340561985969,1.3146734610199928,4.457548777759075
3,12288,-3.5593628040866725,20.36,0.94,0.01694194146897644,0.01571201814804226,-0.011728625436080619,4.3183897361159325,1.3096134789288043,4.306661117076874
4,16384,-3.552046244045116,20.48,0.94,0.016532956353621557,0.015845415611984208,-0.009942202840466052,4.480287805199623,1.3065075308084488,4.470345588028431
5,20480,-3.3565753649111176,19.33175355450237,0.9383886255924171,0.017210045070232938,0.016080329812604103,-0.011238482049520826,4.219903906807303,1.3036966677755117,4.208665423095226
