epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-0.236385852696089,4.439262472885033,0.9978308026030369,0.039140624644683264,0.0390241486272914,-0.016279363626381382,1.1859436687082052,1.5306300431489945,1.169664303213358
2,8192,-0.20746494200706372,4.281380753138075,0.9968619246861925,0.03893915368058956,0.03863687455804169,-0.0080882879847195,2.0127618722617626,1.5287238825112581,2.0046735908836126
3,12288,-0.3016021357131821,4.52596685082873,0.994475138121547,0.039216118128918814,0.038688354799266675,-0.011665340785111767,3.781201370060444,1.5270346842706204,3.769536029547453
4,16384,-0.2782762516808069,4.47431693989071,0.994535519125683,0.03921725869056631,0.038773921944323136,-0.00839433740059446,3.011862105556897,1.5257307855146272,3.0034677673663412
5,20480,-0.24037676387223067,4.4068891280947255,0.9946178686759957,0.03871428269985161,0.03828336618864754,-0.011321403676993214,2.7040732562541963,1.5255265399813651,2.6927518509328365
