gen,ind,env_steps_ind,env_steps,train_success_rate,train_avg_min_goal_dist,train_avg_ep_return,eval_success_rate,eval_avg_min_goal_dist,eval_avg_ep_return,is_elite
0,0,20480,20480,0.024390243902439025,0.09810063020303482,-44.369510869420196,0.0,0.08045530002564191,-36.47442154717086,1
0,1,20480,40960,0.11627906976744186,0.08604061352305634,-38.44514611134339,0.0,0.10721183903515338,-40.7195878691557,0
0,2,20480,61440,0.09302325581395349,0.09492533768765456,-40.89047073388308,0.0,0.10267367344349623,-37.07874206089433,0
0,3,20480,81920,0.07142857142857142,0.10218482460117057,-43.366227663730896,0.0,0.09492808803915978,-37.068264011817504,0
0,4,20480,102400,0.06976744186046512,0.09896313362256733,-42.11298219593948,0.0,0.07619120217859746,-35.594982029826014,1
0,5,20480,122880,0.047619047619047616,0.0929525442909272,-41.12361847421038,0.1,0.08183845710009337,-33.160306335111635,1
0,6,20480,143360,0.06818181818181818,0.09904915710318495,-42.06985466372082,0.0,0.12061062604188919,-39.348171996938326,0
0,7,20480,163840,0.09090909090909091,0.10934549802914262,-41.76512172980787,0.1,0.09041249863803387,-34.71409290483853,1
1,0,20480,184320,0.15555555555555556,0.05514764469116926,-32.11318942802419,0.3,0.03477467270568013,-21.19760900745364,1
1,1,20480,204800,0.2127659574468085,0.03922958553154418,-26.91150501167016,0.1,0.03128091003745794,-20.633222908727042,1
1,2,20480,225280,0.2127659574468085,0.06014931039448748,-31.21726680690646,0.0,0.08306888975203038,-32.87468552319091,0
1,3,20480,245760,0.09302325581395349,0.08587632219978543,-37.54514375178748,0.0,0.09792434833943844,-34.7967056340541,0
1,4,20480,266240,0.11363636363636363,0.06114946246485819,-33.66024076618638,0.2,0.049148216098546985,-26.98556993294053,1
1,5,20480,286720,0.046511627906976744,0.06808340763889772,-35.29224764084592,0.0,0.09235185571014881,-38.243416567145836,0
1,6,20480,307200,0.06976744186046512,0.08211718748735133,-37.226696607370364,0.1,0.10050333756953478,-35.7542162166835,1
1,7,20480,327680,0.09302325581395349,0.07522403431493183,-35.97133911281017,0.0,0.0991528645157814,-34.703084581231266,0
2,0,20480,348160,0.30612244897959184,0.03775080449270959,-25.116983286530655,0.2,0.042669798620045184,-22.15037600139211,1
2,1,20480,368640,0.36,0.03244411684572697,-23.925782820747308,0.1,0.03394488226622343,-21.29288425244338,0
2,2,20480,389120,0.44642857142857145,0.025097978218192502,-19.501818219387758,0.5,0.027261175215244293,-14.361368753671348,1
2,3,20480,409600,0.13636363636363635,0.06713708174753595,-32.677114234554885,0.0,0.055812750943005085,-29.104531290214016,0
2,4,20480,430080,0.6666666666666666,0.020820580625339695,-15.005658895805112,0.9,0.020642724074423312,-8.036974252625178,1
2,5,20480,450560,0.3269230769230769,0.048412207496137574,-25.808073599619828,0.1,0.04700296614319086,-27.228863338809457,0
2,6,20480,471040,0.1956521739130435,0.04238120006883274,-28.148210376289448,0.3,0.03559519574046135,-21.50761475113513,1
2,7,20480,491520,0.2,0.042703490228288704,-28.67041161485968,0.1,0.0324459845200181,-22.93945260054113,0
3,0,20480,512000,0.8695652173913043,0.01719193468781431,-10.102302548162902,0.8,0.020410845428705214,-6.485762094288776,1
3,1,20480,532480,0.8387096774193549,0.016651780392113392,-10.109884583002893,1.0,0.019067921303212644,-3.7502855502722015,1
3,2,20480,552960,0.603448275862069,0.024249213651336473,-19.082720185882838,0.6,0.022369452565908433,-11.911695940919374,0
3,3,20480,573440,0.640625,0.020845192077104002,-16.41119792964831,0.4,0.030066885240375995,-16.328265332634807,0
3,4,20480,593920,0.7571428571428571,0.019965883337759546,-14.463829760225826,0.7,0.022746655531227587,-9.740109573277348,1
3,5,20480,614400,0.5,0.02474174601957202,-19.72835210737853,0.3,0.02872672714293003,-16.631141386395306,0
3,6,20480,634880,0.872093023255814,0.017173619296531693,-10.997828283956702,0.9,0.019409731030464172,-5.496886216648158,1
