epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-5.810698758936513,29.06474820143885,0.8848920863309353,0.019579625145780096,0.016265319486101753,-0.015318894569645636,5.811101931333542,1.8818564429879188,5.795783042907715
2,8192,-3.842765286158135,21.186528497409327,0.9585492227979274,0.017537739913225405,0.016056255899475878,-0.016226439480669798,5.277198728919029,1.8777659207582473,5.260972279310226
3,12288,-3.360141666186936,19.088785046728972,0.9579439252336449,0.017006072422454707,0.015709711558612012,-0.012806306156562641,5.107357704639435,1.8719409190118312,5.094551387429237
4,16384,-3.606857052033391,20.054187192118228,0.9359605911330049,0.0175276944686755,0.01643301881368047,-0.012850881868507713,4.922527198493481,1.8642145909368992,4.909676305949688
5,20480,-3.1195419240021898,18.5158371040724,0.9683257918552036,0.01608107668322372,0.015639303162550695,-0.01403224717505509,5.104205796122551,1.8594873979687692,5.09017353951931
