epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-4.024787176469703,21.582010582010582,0.9417989417989417,0.017619011765986525,0.015993012420872532,-0.010667283748625777,5.380447483062744,1.400329913944006,5.369780188798904
2,8192,-4.304073593244044,23.25,0.9204545454545454,0.018027416165833445,0.016400203934278,-0.0098676147259539,5.211551457643509,1.3942029617726803,5.2016838669776915
3,12288,-4.488174232951544,23.98224852071006,0.9171597633136095,0.017645765718667817,0.016369965065204533,-0.011701325132162311,5.075873151421547,1.3872556939721108,5.064171835780144
4,16384,-3.73088951529741,21.072164948453608,0.9587628865979382,0.017001186448303004,0.01616624736865579,-0.013538335531484336,4.873008160293102,1.3805045738816262,4.859469822049141
5,20480,-3.7762300188549696,20.897959183673468,0.9438775510204082,0.016814682143265192,0.01589732208023114,-0.013152959043509327,5.0673243150115015,1.3753578066825867,5.054171366989612
