gen,ind,env_steps_ind,env_steps,train_success_rate,train_avg_min_goal_dist,train_avg_ep_return,eval_success_rate,eval_avg_min_goal_dist,eval_avg_ep_return,is_elite
0,0,20480,20480,0.22,0.09749490041285754,-34.943297732525316,0.6,0.06585483271628619,-16.114761259657254,1
0,1,20480,40960,0.22916666666666666,0.08858837575341265,-34.48964234866931,0.1,0.09433157965540886,-34.676993433857376,0
0,2,20480,61440,0.28846153846153844,0.09040954071455277,-31.926433977009253,0.1,0.09533939510583878,-31.275404882408957,0
0,3,20480,81920,0.26,0.10268237061798573,-38.05547506814798,0.3,0.0771387241780758,-27.395881133015344,1
0,4,20480,102400,0.22448979591836735,0.08957894093223981,-34.05421395202641,0.5,0.08381210714578628,-27.49596085219897,1
0,5,20480,122880,0.28846153846153844,0.088302307905486,-32.17006602335735,0.3,0.07627901509404182,-24.59324066686256,1
0,6,20480,143360,0.20833333333333334,0.0928539838641882,-36.077807343337405,0.3,0.10216100104153156,-31.804350520285293,0
0,7,20480,163840,0.1702127659574468,0.10409560538035759,-38.186807247631705,0.3,0.08440655507147313,-30.14187771923506,0
1,0,20480,184320,0.7901234567901234,0.05005119982416983,-16.715509077918377,1.0,0.04235912077128887,-2.8252049454150483,1
1,1,20480,204800,0.7160493827160493,0.051297596023406514,-16.476490005573837,1.0,0.049182582274079324,-4.176438909215822,1
1,2,20480,225280,0.7590361445783133,0.050256415842527366,-15.617815118600857,1.0,0.047614600881934165,-3.9856589687954007,1
1,3,20480,245760,0.7528089887640449,0.0509341988461406,-15.078270117406321,0.9,0.050618290156126025,-9.339357064659898,0
1,4,20480,266240,0.6455696202531646,0.05865543137622785,-18.871223012283906,0.8,0.050700637698173526,-11.071013260206914,0
1,5,20480,286720,0.8488372093023255,0.049439255256465704,-15.276818825558806,0.7,0.05181533508002758,-13.425380382488697,0
1,6,20480,307200,0.43103448275862066,0.06922220515793767,-26.331296260064285,0.5,0.07515228055417537,-24.259286222305178,0
1,7,20480,327680,0.6585365853658537,0.05259144462917636,-17.630159977552992,0.9,0.04893610924482346,-9.879701697341515,1
2,0,20480,348160,0.9866666666666667,0.044041044380929734,-4.48667481610789,1.0,0.04563029184937477,-1.9311797484180098,1
2,1,20480,368640,0.9927272727272727,0.04356391218575564,-3.473631604792025,1.0,0.04315893817692995,-0.9982043854980647,1
2,2,20480,389120,0.9770642201834863,0.04463162903733756,-4.723801138363124,1.0,0.04732571206986904,-2.0146555865790674,0
2,3,20480,409600,0.9257142857142857,0.0451863286112036,-6.523662352886083,1.0,0.046789802610874176,-2.359222042429654,0
2,4,20480,430080,0.967391304347826,0.04450702397962627,-5.819184206153956,1.0,0.04593887589871883,-1.8255978889684272,1
2,5,20480,450560,0.9464285714285714,0.0444009993668823,-6.830804440523322,1.0,0.04510692860931158,-1.6704130745602097,1
2,6,20480,471040,0.9760765550239234,0.04364518142131527,-4.986535325730163,1.0,0.04664851762354374,-1.5253818822681335,0
