epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-5.9519250168557845,28.807142857142857,0.95,0.017574812578303473,0.016124296973326378,-0.012718095876334701,7.4538869023323056,1.573911602795124,7.441168811917305
2,8192,-5.739262226614956,28.041379310344826,0.9448275862068966,0.016950067238689498,0.0162261036096205,-0.014582243430777454,7.256494161486626,1.5691376224160194,7.241911923885345
3,12288,-5.673166066109571,28.16551724137931,0.9241379310344827,0.01906895841600309,0.016778929658426808,-0.012117997487803223,6.796293035149574,1.5634921967983246,6.784175032377243
4,16384,-4.611542298618941,24.153846153846153,0.9644970414201184,0.016816244296696498,0.015799382576145805,-0.012131311654229648,6.578590112924576,1.557738857716322,6.566458776593208
5,20480,-5.192794675704478,26.745098039215687,0.9281045751633987,0.01815145848367631,0.01627897122704418,-0.010618571177474223,6.598914667963982,1.5521400801837444,6.588296097517014
