epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-12.99602008825753,40.95,0.82,0.06921136425808072,0.048011162113398315,-0.013242328571828289,13.393107606305016,1.6506614552603827,13.379865248998007
2,8192,-9.78142500867261,32.92622950819672,0.8688524590163934,0.056788952089846134,0.04662762238781472,-0.015988115940126592,11.716635888814926,1.6485413745045663,11.700647741556168
3,12288,-7.160706213254824,25.69182389937107,0.9433962264150944,0.048183630589606626,0.04500028947895428,-0.014208208973286673,8.843721470236778,1.6454264841973782,8.829513269662858
4,16384,-5.576435770723841,21.207253886010363,0.9689119170984456,0.04626209428775187,0.043981416266739674,-0.015884237457066776,7.627994042634964,1.6409034676849843,7.612109798192978
5,20480,-4.48667481610789,18.16,0.9866666666666667,0.044539618757036,0.044041044380929734,-0.016770641360199078,6.373673743009567,1.6374175347387792,6.356903100013733
