epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-3.074560840671445,18.026431718061673,0.973568281938326,0.016376678244157443,0.016031506901098176,-0.012730909275705925,5.019330826401711,1.5120671533048153,5.006599932909012
2,8192,-3.260467578272866,18.91549295774648,0.9436619718309859,0.016374880531059465,0.015697660759755983,-0.010652393582859077,4.782097253203392,1.5060829661786557,4.771444857120514
3,12288,-2.880700655236906,17.35169491525424,0.9533898305084746,0.016506995344771295,0.015959214610521192,-0.00970210657105781,4.4464618727564815,1.5027035638689994,4.436759760975837
4,16384,-2.9572152218717696,17.906666666666666,0.9466666666666667,0.016241250086782708,0.015600921436109477,-0.011316760996123776,4.133925826847554,1.497277407348156,4.12260906547308
5,20480,-2.7510467373703125,16.90082644628099,0.9628099173553719,0.016292752447915226,0.015794514689963957,-0.011543764628004282,4.007116711139679,1.4916813626885415,3.9955729484558105
