epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-17.20116366696592,65.78688524590164,0.5245901639344263,0.04520100943713647,0.02261346361034962,-0.01583242921042256,8.902062600851059,1.8377337738871575,8.886230185627937
2,8192,-15.410228258231355,59.044117647058826,0.6029411764705882,0.046808894114185345,0.023060574408565813,-0.013538743858225644,8.621099770069122,1.8345010556280612,8.607561001181603
3,12288,-12.365039407666591,50.675,0.725,0.034413938177749515,0.019947926886379717,-0.016670237760990858,8.00556775033474,1.8299560546875,7.988897520303726
4,16384,-10.105766738081483,42.578947368421055,0.7894736842105263,0.031704046881120454,0.01924270955159476,-0.0154512189241359,8.521263498067857,1.8248418398201465,8.50581226348877
5,20480,-8.60857464599193,38.03738317757009,0.822429906542056,0.024798553750336728,0.017605615466415325,-0.013823209941620007,7.876835373044014,1.8176571816205978,7.863012155890464
