epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-4.498776190064269,23.92982456140351,0.9532163742690059,0.0167256874598737,0.015738514385442114,-0.012570008929469623,6.240676310658455,1.614672701060772,6.228106299042702
2,8192,-4.797356692391729,25.48125,0.94375,0.01755518683057744,0.016080740981851704,-0.011936759011587129,5.46334615945816,1.6108702473342418,5.451409417390823
3,12288,-3.9337219610598235,21.86096256684492,0.9572192513368984,0.016360894617510034,0.015543209134855053,-0.012319891186780296,5.331180754303932,1.6070385694503784,5.318860849738121
4,16384,-3.651455428340384,20.425,0.96,0.01658948332304135,0.01552654497558251,-0.01160365906835068,5.621784970164299,1.602666088193655,5.610181307792663
5,20480,-3.879389651885562,21.255208333333332,0.9427083333333334,0.01686294782242233,0.015929916571622016,-0.00912141167500522,5.550629714131356,1.5983277037739754,5.54150829911232
