epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-15.606953364511568,61.93939393939394,0.6212121212121212,0.03816203426597922,0.020445866771324567,-0.016823807093896904,8.119889968633652,1.599880003929138,8.103066170215607
2,8192,-11.32502694170681,47.10588235294118,0.8588235294117647,0.02390661935924607,0.0177199791842962,-0.018069510749774052,8.268215483427047,1.5947395324707032,8.250145989656449
3,12288,-9.2675278186177,41.7319587628866,0.8556701030927835,0.02078082928069166,0.017055199059091277,-0.014714574097888544,7.56584909260273,1.5896171301603317,7.551134490966797
4,16384,-7.206937677186806,33.33606557377049,0.9344262295081968,0.017762825641109318,0.015957622315551413,-0.012020982627291232,7.942186856269837,1.583655022084713,7.930165863037109
5,20480,-5.967458269935015,29.142857142857142,0.9857142857142858,0.015502527159904795,0.015316391540026026,-0.013523456887924112,7.301605674624443,1.5786664202809333,7.2880822092294695
