epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-5.747655472055742,29.064285714285713,0.9571428571428572,0.016367161292250135,0.015747551837869522,-0.009379883171641267,6.971502476930619,1.6352956168353558,6.962122595310211
2,8192,-5.4929662880237675,27.34228187919463,0.9463087248322147,0.017021991248436324,0.01591952839997541,-0.012671061980654486,6.8718264430761336,1.6302347719669341,6.859155377745628
3,12288,-5.441220404111202,27.395973154362416,0.9463087248322147,0.016617423515679353,0.01555957694400427,-0.011291543961851858,6.804759553074836,1.6260820418596267,6.793468001484871
4,16384,-5.358645698147537,27.173333333333332,0.9466666666666667,0.017565763561675947,0.016125820248077315,-0.011587985069490969,6.267474043369293,1.621837569028139,6.255886054039001
5,20480,-3.7923373305384187,20.715736040609137,0.9746192893401016,0.016393732735745344,0.01567671981493607,-0.011070792758255265,6.567720830440521,1.6188703022897244,6.5566500425338745
